program_id,channel_id,start,end,fitness
ch148_breaking_news_corona_latest_ne_16820,148,16820,16855,104
ch350_today_world_breaking_news_live_16857,350,16857,16897,64
ch447_fox_news_live_president_donald_16897,447,16897,16917,106
ch1261_live_kannada_news_11_am_05_01__16917,1261,16917,16947,104
ch873_disney_parks_live_breaking_new_16953,873,16953,16998,76
ch80_team_news_live_norwich_city_v__16998,80,16998,17238,84
ch237_ruturaj_dropped_ind_vs_nz_squa_17238,237,17238,17338,84
ch1363_breaking_news_live_stream_17338,1363,17338,17373,101
ch583_live_05_01_2026_morning_news_t_17375,583,17375,17465,103
ch343_nvidia_ceo_jensen_huang_talks__17465,343,17465,17765,48
ch1480_news_live_17765,1480,17765,17810,68
ch1341_breaking_news_watch_today_s_ma_17810,1341,17810,17900,124
ch1060_today_breaking_news_top_100_ne_17901,1060,17901,17941,62
ch1582_news_live_17943,1582,17943,17963,47
ch505_kairali_news_live_17963,505,17963,18063,60
ch943_02_january_2026_aaj_ki_50_sabs_18064,943,18064,18184,75
ch91_bullhorn_betty_breaking_news_t_18185,91,18185,18260,112
ch455_an_breaking_news_live_stream_18261,455,18261,18321,110
ch194_poduty_and_the_news_live_podca_18327,194,18327,18372,54
ch1147_news_live_18372,1147,18372,18447,74
ch1249_live_tonight_skiba_news_nation_18448,1249,18448,18538,74
ch377_bullhorn_betty_breaking_news_t_18538,377,18538,18718,119
ch1624_watch_live_the_north_east_news_18721,1624,18721,18766,106
ch1178_ruturaj_dropped_ind_vs_nz_squa_18766,1178,18766,18811,68
ch503_live_house_oversight_committee_18811,503,18811,18886,108
ch1505_kairali_news_live_18887,1505,18887,18907,47
ch856_cnn_breaking_news_live_hd_18908,856,18908,19008,99
ch1412_news_live_19008,1412,19008,19308,42
ch1459_nvidia_ceo_jensen_huang_talks__19308,1459,19308,19383,67
ch20_live_house_oversight_committee_19503,20,19503,19523,109
ch281_breaking_news_live_coronavirus_19523,281,19523,19583,117
ch961_disney_parks_live_breaking_new_19588,961,19588,19678,48
ch1402_kairali_news_live_19679,1402,19679,19739,64
ch381_ia_live_uk_house_of_commons_di_19739,381,19739,19769,110
ch1609_aaj_tak_live_news_in_hindi_cur_19769,1609,19769,19789,105
ch581_umh_news_live_19791,581,19791,19971,73
ch1465_information_radio_jan_5th_2026_19973,1465,19973,20033,133
ch321_live_house_oversight_committee_20033,321,20033,20073,136
ch435_disney_parks_live_breaking_new_20073,435,20073,20133,74
ch1468_bullhorn_betty_breaking_news_t_20135,1468,20135,20210,121
ch424_bihar_news_live_muzaffarpur_li_20212,424,20212,20422,104
ch1425_kairali_news_live_20427,1425,20427,20517,51
ch281_kairali_news_live_20517,281,20517,20562,63
ch163_newsmax_news_breaking_news_and_20562,163,20562,20602,113
ch821_today_news_live_pm_narendra_mo_20603,821,20603,20633,120
ch798_disney_parks_live_breaking_new_20645,798,20645,20705,56
ch462_fox_news_live_stream_now_presi_20705,462,20705,20740,118
ch1582_today_breaking_news_20740,1582,20740,20785,124
ch1666_disney_parks_live_breaking_new_20787,1666,20787,20822,45
ch1660_rocket_morning_news_live_jan_9_20822,1660,20822,20882,121
ch1657_live_trump_returns_to_washingt_20882,1657,20882,20942,123
ch521_today_breaking_news_top_100_ne_20944,521,20944,21019,71
ch1149_aaj_tak_live_news_in_hindi_cur_21020,1149,21020,21120,115
ch1618_film_and_box_office_news_live__21120,1618,21120,21220,64
ch1571_newsmax_news_breaking_news_and_21220,1571,21220,21295,121
ch1297_geo_news_live_pakistan_news_li_21296,1297,21296,21326,127
ch597_dbc_news_live_21330,597,21330,21390,65
ch92_05_jan_current_affairs_2026_cu_21390,92,21390,21420,82
ch420_ruturaj_dropped_ind_vs_nz_squa_21421,420,21421,21600,84
